#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Aug 14 15:03:07 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       bpm_x_map.ncd
#OUTPUT FILE:      bpm_x_pad.csv
#PART TYPE:        xc3s400
#SPEED GRADE:      -4
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P11,Triggered,IOB,IO_L20N_7,OUTPUT,LVCMOS33,7,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P12,Qspi_CLK,IOB,IO_L21P_7,INPUT,LVCMOS33,7,,,,NONE,,LOCATED,NO,NONE,
P13,PROG_TDI,IOB,IO_L21N_7,OUTPUT,LVCMOS33,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P14,,,GND,,,,,,,,,,,,
P15,PROG_TDO,IOB,IO_L22P_7,INPUT,LVCMOS33,7,,,,NONE,,LOCATED,NO,NONE,
P16,PROG_TMS,IOB,IO_L22N_7,OUTPUT,LVCMOS33,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P17,,,VCCAUX,,,,,,,,2.5,,,,
P18,PROG_TCK,IOB,IO_L23P_7,OUTPUT,LVCMOS33,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P19,SEL_SEC,IOB,IO_L23N_7,OUTPUT,LVCMOS33,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P20,SEL_CLK,IOB,IO_L24P_7,OUTPUT,LVCMOS33,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P21,n_Reboot,IOB,IO_L24N_7,OUTPUT,LVCMOS33,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P22,,DIFFM,IO_L39P_7,UNUSED,,7,,,,,,,,,
P23,,,VCCO_7,,,7,,,,,3.30,,,,
P24,,DIFFS,IO_L39N_7,UNUSED,,7,,,,,,,,,
P25,,,GND,,,,,,,,,,,,
P26,,DIFFM,IO_L40P_7,UNUSED,,7,,,,,,,,,
P27,,DIFFS,IO_L40N_7/VREF_7,UNUSED,,7,,,,,,,,,
P28,,DIFFM,IO_L40P_6/VREF_6,UNUSED,,6,,,,,,,,,
P29,,DIFFS,IO_L40N_6,UNUSED,,6,,,,,,,,,
P30,,,GND,,,,,,,,,,,,
P31,,DIFFM,IO_L39P_6,UNUSED,,6,,,,,,,,,
P32,,,VCCO_6,,,6,,,,,any******,,,,
P33,,DIFFS,IO_L39N_6,UNUSED,,6,,,,,,,,,
P34,,DIFFM,IO_L24P_6,UNUSED,,6,,,,,,,,,
P35,,DIFFS,IO_L24N_6/VREF_6,UNUSED,,6,,,,,,,,,
P36,,DIFFM,IO_L23P_6,UNUSED,,6,,,,,,,,,
P37,,DIFFS,IO_L23N_6,UNUSED,,6,,,,,,,,,
P38,,,VCCAUX,,,,,,,,2.5,,,,
P39,,DIFFM,IO_L22P_6,UNUSED,,6,,,,,,,,,
P40,,DIFFS,IO_L22N_6,UNUSED,,6,,,,,,,,,
P41,,,GND,,,,,,,,,,,,
P42,,DIFFM,IO_L21P_6,UNUSED,,6,,,,,,,,,
P43,,DIFFS,IO_L21N_6,UNUSED,,6,,,,,,,,,
P44,,DIFFM,IO_L20P_6,UNUSED,,6,,,,,,,,,
P45,,DIFFS,IO_L20N_6,UNUSED,,6,,,,,,,,,
P46,,DIFFM,IO_L19P_6,UNUSED,,6,,,,,,,,,
P47,,,GND,,,,,,,,,,,,
P48,,DIFFS,IO_L19N_6,UNUSED,,6,,,,,,,,,
P49,,,VCCO_6,,,6,,,,,any******,,,,
P50,,DIFFM,IO/VREF_6,UNUSED,,6,,,,,,,,,
P51,,DIFFM,IO_L01P_6/VRN_6,UNUSED,,6,,,,,,,,,
P52,,DIFFS,IO_L01N_6/VRP_6,UNUSED,,6,,,,,,,,,
P53,,,GND,,,,,,,,,,,,
P54,,,M1,,,,,,,,,,,,
P55,,,M0,,,,,,,,,,,,
P56,,,M2,,,,,,,,,,,,
P57,Osc_On,IOB,IO_L01P_5/CS_B,OUTPUT,LVCMOS33,5,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P58,,DIFFS,IO_L01N_5/RDWR_B,UNUSED,,5,,,,,,,,,
P59,,,GND,,,,,,,,,,,,
P60,,,VCCO_5,,,5,,,,,3.30,,,,
P61,ATT_Cntl2B<5>,IOB,IO_L10P_5/VRN_5,OUTPUT,LVCMOS33,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P62,ATT_Cntl2A<5>,IOB,IO_L10N_5/VRP_5,OUTPUT,LVCMOS33,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P63,ATT_Cntl1B<5>,IOB,IO,OUTPUT,LVCMOS33,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P64,ATT_Cntl1A<5>,IOB,IO_L27P_5,OUTPUT,LVCMOS33,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P65,,DIFFS,IO_L27N_5/VREF_5,UNUSED,,5,,,,,,,,,
P66,,,GND,,,,,,,,,,,,
P67,CAL_SW<5>,IOB,IO_L28P_5/D7,OUTPUT,LVCMOS33,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P68,CAL_SW<6>,IOB,IO_L28N_5/D6,OUTPUT,LVCMOS33,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P69,,,VCCAUX,,,,,,,,2.5,,,,
P70,,,VCCINT,,,,,,,,1.2,,,,
P71,,IOB,IO,UNUSED,,5,,,,,,,,,
P72,LMTR_Pulse,IOB,IO_L31P_5/D5,INPUT,LVCMOS33,5,,,,NONE,,LOCATED,YES,NONE,
P73,,,VCCO_5,,,5,,,,,3.30,,,,
P74,,DIFFS,IO_L31N_5/D4,UNUSED,,5,,,,,,,,,
P75,,,GND,,,,,,,,,,,,
P76,n_LMTR_Short_Rst,IOB,IO_L32P_5/GCLK2,OUTPUT,LVCMOS33,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P77,,DIFFS,IO_L32N_5/GCLK3,UNUSED,,5,,,,,,,,,
P78,n_LMTR_Long_Rst,IOB,IO/VREF_5,OUTPUT,LVCMOS33,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P79,,DIFFM,IO_L32P_4/GCLK0,UNUSED,,4,,,,,,,,,
P80,VAPC,IOB,IO_L32N_4/GCLK1,OUTPUT,LVCMOS33,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P81,,DIFFM,IO_L31P_4/DOUT/BUSY,UNUSED,,4,,,,,,,,,
P82,,,GND,,,,,,,,,,,,
P83,,DIFFS,IO_L31N_4/INIT_B,UNUSED,,4,,,,,,,,,
P84,,,VCCO_4,,,4,,,,,3.30,,,,
P85,CAL_SW<1>,IOB,IO/VREF_4,OUTPUT,LVCMOS33,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P86,CAL_SW<2>,IOB,IO_L30P_4/D3,OUTPUT,LVCMOS33,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P87,CAL_SW<3>,IOB,IO_L30N_4/D2,OUTPUT,LVCMOS33,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P88,,,VCCINT,,,,,,,,1.2,,,,
P89,,,VCCAUX,,,,,,,,2.5,,,,
P90,CAL_SW<4>,IOB,IO_L27P_4/D1,OUTPUT,LVCMOS33,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P91,,,GND,,,,,,,,,,,,
P92,,DIFFS,IO_L27N_4/DIN/D0,UNUSED,,4,,,,,,,,,
P93,,IOB,IO,UNUSED,,4,,,,,,,,,
P94,,DIFFM,IO_L25P_4,UNUSED,,4,,,,,,,,,
P95,CAL_ATT<1>,IOB,IO_L25N_4,OUTPUT,LVCMOS33,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P96,CAL_ATT<2>,IOB,IO/VREF_4,OUTPUT,LVCMOS33,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P97,CAL_ATT<3>,IOB,IO,OUTPUT,LVCMOS33,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P98,,,VCCO_4,,,4,,,,,3.30,,,,
P99,,,GND,,,,,,,,,,,,
P100,CAL_ATT<4>,IOB,IO_L01P_4/VRN_4,OUTPUT,LVCMOS33,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P101,CAL_ATT<5>,IOB,IO_L01N_4/VRP_4,OUTPUT,LVCMOS33,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P102,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,,,
P103,,,DONE,,,,,,,,,,,,
P104,,,CCLK,,,,,,,,,,,,
P105,,,GND,,,,,,,,,,,,
P106,,DIFFM,IO_L01P_3/VRN_3,UNUSED,,3,,,,,,,,,
P107,,DIFFS,IO_L01N_3/VRP_3,UNUSED,,3,,,,,,,,,
P108,ATT_Cntl1A<1>,IOB,IO_L17P_3/VREF_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P109,ATT_Cntl1A<2>,IOB,IO_L17N_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P110,,,VCCO_3,,,3,,,,,3.30,,,,
P111,ATT_Cntl1A<3>,IOB,IO_L19P_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P112,,,GND,,,,,,,,,,,,
P113,ATT_Cntl1A<4>,IOB,IO_L19N_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P114,ATT_Cntl1B<1>,IOB,IO_L20P_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P115,ATT_Cntl1B<2>,IOB,IO_L20N_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P116,ATT_Cntl1B<3>,IOB,IO_L21P_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P117,ATT_Cntl1B<4>,IOB,IO_L21N_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P118,,,GND,,,,,,,,,,,,
P119,ATT_Cntl2A<1>,IOB,IO_L22P_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P120,ATT_Cntl2A<2>,IOB,IO_L22N_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P121,,,VCCAUX,,,,,,,,2.5,,,,
P122,ATT_Cntl2A<3>,IOB,IO_L23P_3/VREF_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P123,ATT_Cntl2A<4>,IOB,IO_L23N_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P124,ATT_Cntl2B<1>,IOB,IO_L24P_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P125,ATT_Cntl2B<2>,IOB,IO_L24N_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P126,ATT_Cntl2B<3>,IOB,IO_L39P_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P127,,,VCCO_3,,,3,,,,,3.30,,,,
P128,ATT_Cntl2B<4>,IOB,IO_L39N_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P129,,,GND,,,,,,,,,,,,
P130,,DIFFM,IO_L40P_3,UNUSED,,3,,,,,,,,,
P131,ATT_Cntl3A<1>,IOB,IO_L40N_3/VREF_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P132,ATT_Cntl3A<2>,IOB,IO_L40P_2/VREF_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P133,ATT_Cntl3A<3>,IOB,IO_L40N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P134,,,GND,,,,,,,,,,,,
P135,ATT_Cntl3A<4>,IOB,IO_L39P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P136,,,VCCO_2,,,2,,,,,3.30,,,,
P137,ATT_Cntl3B<1>,IOB,IO_L39N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P138,ATT_Cntl3B<2>,IOB,IO_L24P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P139,ATT_Cntl3B<3>,IOB,IO_L24N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P140,ATT_Cntl3B<4>,IOB,IO_L23P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P141,ATT_Cntl4A<1>,IOB,IO_L23N_2/VREF_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P142,,,VCCAUX,,,,,,,,2.5,,,,
P143,ATT_Cntl4A<2>,IOB,IO_L22P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P144,ATT_Cntl4A<3>,IOB,IO_L22N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P145,,,GND,,,,,,,,,,,,
P146,ATT_Cntl4A<4>,IOB,IO_L21P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P147,ATT_Cntl4B<1>,IOB,IO_L21N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P148,ATT_Cntl4B<2>,IOB,IO_L20P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P149,ATT_Cntl4B<3>,IOB,IO_L20N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P150,ATT_Cntl4B<4>,IOB,IO_L19P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P151,,,GND,,,,,,,,,,,,
P152,,DIFFS,IO_L19N_2,UNUSED,,2,,,,,,,,,
P153,,,VCCO_2,,,2,,,,,3.30,,,,
P154,,DIFFM,IO/VREF_2,UNUSED,,2,,,,,,,,,
P155,,DIFFM,IO_L01P_2/VRN_2,UNUSED,,2,,,,,,,,,
P156,,DIFFS,IO_L01N_2/VRP_2,UNUSED,,2,,,,,,,,,
P157,,,GND,,,,,,,,,,,,
P158,,,TDO,,,,,,,,,,,,
P159,,,TCK,,,,,,,,,,,,
P160,,,TMS,,,,,,,,,,,,
P161,,DIFFM,IO_L01P_1/VRN_1,UNUSED,,1,,,,,,,,,
P162,,DIFFS,IO_L01N_1/VRP_1,UNUSED,,1,,,,,,,,,
P163,,,GND,,,,,,,,,,,,
P164,,,VCCO_1,,,1,,,,,3.30,,,,
P165,,DIFFM,IO_L10P_1,UNUSED,,1,,,,,,,,,
P166,,DIFFS,IO_L10N_1/VREF_1,UNUSED,,1,,,,,,,,,
P167,,IOB,IO,UNUSED,,1,,,,,,,,,
P168,,DIFFM,IO_L27P_1,UNUSED,,1,,,,,,,,,
P169,,DIFFS,IO_L27N_1,UNUSED,,1,,,,,,,,,
P170,,,GND,,,,,,,,,,,,
P171,,DIFFM,IO_L28P_1,UNUSED,,1,,,,,,,,,
P172,,DIFFS,IO_L28N_1,UNUSED,,1,,,,,,,,,
P173,,,VCCAUX,,,,,,,,2.5,,,,
P174,,,VCCINT,,,,,,,,1.2,,,,
P175,,IOB,IO,UNUSED,,1,,,,,,,,,
P176,,DIFFM,IO_L31P_1,UNUSED,,1,,,,,,,,,
P177,,,VCCO_1,,,1,,,,,3.30,,,,
P178,Cal_Init,IOB,IO_L31N_1/VREF_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
P179,,,GND,,,,,,,,,,,,
P180,,DIFFM,IO_L32P_1/GCLK4,UNUSED,,1,,,,,,,,,
P181,,DIFFS,IO_L32N_1/GCLK5,UNUSED,,1,,,,,,,,,
P182,,IOB,IO,UNUSED,,1,,,,,,,,,
P183,Local_Clock,IOB,IO_L32P_0/GCLK6,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P184,Sys_Clock,IOB,IO_L32N_0/GCLK7,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P185,Reset,IOB,IO_L31P_0/VREF_0,INPUT,LVCMOS33,0,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P186,,,GND,,,,,,,,,,,,
P187,,DIFFS,IO_L31N_0,UNUSED,,0,,,,,,,,,
P188,,,VCCO_0,,,0,,,,,3.30,,,,
P189,,IOB,IO,UNUSED,,0,,,,,,,,,
P190,,DIFFM,IO_L30P_0,UNUSED,,0,,,,,,,,,
P191,,DIFFS,IO_L30N_0,UNUSED,,0,,,,,,,,,
P192,,,VCCINT,,,,,,,,1.2,,,,
P193,,,VCCAUX,,,,,,,,2.5,,,,
P194,,DIFFM,IO_L27P_0,UNUSED,,0,,,,,,,,,
P195,,,GND,,,,,,,,,,,,
P196,,DIFFS,IO_L27N_0,UNUSED,,0,,,,,,,,,
P197,,IOB,IO,UNUSED,,0,,,,,,,,,
P198,,DIFFM,IO_L25P_0,UNUSED,,0,,,,,,,,,
P199,,DIFFS,IO_L25N_0,UNUSED,,0,,,,,,,,,
P200,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,
P201,,,VCCO_0,,,0,,,,,3.30,,,,
P202,,,GND,,,,,,,,,,,,
P203,,DIFFM,IO_L01P_0/VRN_0,UNUSED,,0,,,,,,,,,
P204,,DIFFS,IO_L01N_0/VRP_0,UNUSED,,0,,,,,,,,,
P205,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,
P206,,,HSWAP_EN,,,,,,,,,,,,
P207,,,PROG_B,,,,,,,,,,,,
P208,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
